,abbrev,full,freq,most_freq
3789,Lab.,"['Laboratory', 'Laboratory', 'Laboratory', 'Engineering', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratorium', 'Laboratoire', 'Laboratory', 'Laboratoriya', 'Laboratories', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratorio', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratorie', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratornaia', 'Laboratornoe', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratorio', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Medizinische', 'Laboratory', 'Laborary', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratory', 'Laboratoriums']","{'Laboratory': 0.8, 'Engineering': 0.015384615384615385, 'Laboratorium': 0.015384615384615385, 'Laboratoire': 0.015384615384615385, 'Laboratoriya': 0.015384615384615385, 'Laboratories': 0.015384615384615385, 'Laboratorio': 0.03076923076923077, 'Laboratorie': 0.015384615384615385, 'Laboratornaia': 0.015384615384615385, 'Laboratornoe': 0.015384615384615385, 'Medizinische': 0.015384615384615385, 'Laborary': 0.015384615384615385, 'Laboratoriums': 0.015384615384615385}",Laboratory
3790,Labelled,"['labelled', 'labelled']",{'labelled': 1.0},labelled
3791,Labor,"['labor', 'labor', 'labor']",{'labor': 1.0},labor
3792,Laborator,['Laboratoriumspraxis'],{'Laboratoriumspraxis': 1.0},Laboratoriumspraxis
3793,Labour,"['labour', 'labour', 'labour', 'labour', 'labour']",{'labour': 1.0},labour
3794,Lact.,['Lactation'],{'Lactation': 1.0},Lactation
3795,Ladies,"[""Ladies'""]","{""Ladies'"": 1.0}",Ladies'
3796,Laegegern.,['Laegegerning'],{'Laegegerning': 1.0},Laegegerning
3797,Laeger,"['laeger', 'laeger', 'laeger']",{'laeger': 1.0},laeger
3798,Lagerstattenforsch.,['Lagerstattenforschung'],{'Lagerstattenforschung': 1.0},Lagerstattenforschung
3799,Lakareforen,['lakareforenings'],{'lakareforenings': 1.0},lakareforenings
3800,Lakaresallsk,['lakaresallskapets'],{'lakaresallskapets': 1.0},lakaresallskapets
3801,Lakaresallsk.,['Lakaresallskapets'],{'Lakaresallskapets': 1.0},Lakaresallskapets
3802,Lakartidn,['lakartidningen'],{'lakartidningen': 1.0},lakartidningen
3803,Lakokras.,['Lakokrasochnye'],{'Lakokrasochnye': 1.0},Lakokrasochnye
3804,Lancet,"['Journal-lancet', 'lancet']","{'Journal-lancet': 0.5, 'lancet': 0.5}",Journal-lancet
3805,Landesanst.,"['Landesanstalt', 'Landesanstalt', 'Landesanstalt', 'Landesanstalt']",{'Landesanstalt': 1.0},Landesanstalt
3806,Landesaufn.,['Landesaufnahme'],{'Landesaufnahme': 1.0},Landesaufnahme
3807,Landesforstverwalt.,"['Landesforstverwaltung', 'Landesforstverwaltung']",{'Landesforstverwaltung': 1.0},Landesforstverwaltung
3808,Landeshydrol.,"['Landeshydrologie', 'Landeshydrologie']",{'Landeshydrologie': 1.0},Landeshydrologie
3809,Landeskd,"['Landeskunde', 'Landeskunde', 'Landeskunde']",{'Landeskunde': 1.0},Landeskunde
3810,Landespfl.,"['Landespflege', 'Landespflege']",{'Landespflege': 1.0},Landespflege
3811,Landesplan.,['Landesplanung'],{'Landesplanung': 1.0},Landesplanung
3812,Landesver.,['Landesvereins'],{'Landesvereins': 1.0},Landesvereins
3813,Landf.,"['Landforms', 'Landforms']",{'Landforms': 1.0},Landforms
3814,Landsc,['Landscape'],{'Landscape': 1.0},Landscape
3815,Landsc.,"['Landscape', 'Landscape', 'Landscape', 'Landscape', 'Landscape']",{'Landscape': 1.0},Landscape
3816,Landsch.,"['Landschaft', 'Landschaft', 'Landschaft', 'Landschaft', 'Landschaft', 'Landschaft', 'Landschaft']",{'Landschaft': 1.0},Landschaft
3817,Landsch.entwickl.,"['Landschaftsentwicklung', 'Landschaftsentwicklung', 'Landschaftsentwicklung']",{'Landschaftsentwicklung': 1.0},Landschaftsentwicklung
3818,Landsch.forsch.,['Landschaftsforschung'],{'Landschaftsforschung': 1.0},Landschaftsforschung
3819,Landsch.genes.,['Landschaftsgenese'],{'Landschaftsgenese': 1.0},Landschaftsgenese
3820,Landsch.pfl.,"['Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege', 'Landschaftspflege']",{'Landschaftspflege': 1.0},Landschaftspflege
3821,Landsch.schutzgeb.,['Landschaftsschutzgebiete'],{'Landschaftsschutzgebiete': 1.0},Landschaftsschutzgebiete
3822,Landsch.ökol.,"['Landschaftsökologie', 'Landschaftsökologie', 'Landschaftsökologie', 'Landschaftsökologie', 'Landschaftsökologie']",{'Landschaftsökologie': 1.0},Landschaftsökologie
3823,Landtech.,['Landtechnik'],{'Landtechnik': 1.0},Landtechnik
3824,Landwirtsch,['Landwirtschaft'],{'Landwirtschaft': 1.0},Landwirtschaft
3825,Landwirtsch.,"['Landwirtschaftliche', 'Landwirtschaftliches', 'Landwirtschaft', 'Landwirtschaft']","{'Landwirtschaftliche': 0.25, 'Landwirtschaftliches': 0.25, 'Landwirtschaft': 0.5}",Landwirtschaft
3826,Lang,"['language', 'language', 'langage', 'language', 'speech-language', 'language', 'Language', 'Language', 'Language', 'Language', 'language', 'langues', 'language', 'language', 'langage']","{'language': 0.4666666666666667, 'langage': 0.13333333333333333, 'speech-language': 0.06666666666666667, 'Language': 0.26666666666666666, 'langues': 0.06666666666666667}",language
3827,Lang.,"['Languages', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language', 'Language']","{'Languages': 0.05263157894736842, 'Language': 0.9473684210526315}",Language
3828,Langenbecks,"[""Langenbeck's""]","{""Langenbeck's"": 1.0}",Langenbeck's
3829,Laparoendosc,"['laparoendoscopic', 'laparoendoscopic']",{'laparoendoscopic': 1.0},laparoendoscopic
3830,Laparoendosc.,"['Laparoendoscopic', 'Laparoendoscopic']",{'Laparoendoscopic': 1.0},Laparoendoscopic
3831,Laparosc,"['laparoscopy', 'laparoscopic', 'laparoscopy', 'laparoscopy']","{'laparoscopy': 0.75, 'laparoscopic': 0.25}",laparoscopy
3832,Laparosc.,"['Laparoscopic', 'Laparoscopy', 'Laparoscopy']","{'Laparoscopic': 0.3333333333333333, 'Laparoscopy': 0.6666666666666666}",Laparoscopy
3833,Lapja,['lapja'],{'lapja': 1.0},lapja
3834,Larchmt,"['2005', '2002']","{'2005': 0.5, '2002': 0.5}",2005
3835,Laringol,"['laringologia', 'laringologia', 'laringologia', 'laringologia.', 'laringologia', 'laringologia']","{'laringologia': 0.8333333333333334, 'laringologia.': 0.16666666666666666}",laringologia
3836,Laringol.,"['Laringologia', 'Laringologia', 'Laringologia', 'Laringologia.', 'Laringologia', 'Laringologia']","{'Laringologia': 0.8333333333333334, 'Laringologia.': 0.16666666666666666}",Laringologia
3837,Laryngol,"['laryngology.', 'laryngology', 'laryngology', 'laryngology']","{'laryngology.': 0.25, 'laryngology': 0.75}",laryngology
3838,Laryngol.,"['Laryngology', 'Laryngology.', 'Laryngology', 'Laryngology', 'de']","{'Laryngology': 0.6, 'Laryngology.': 0.2, 'de': 0.2}",Laryngology
3839,Larynx,['larynx'],{'larynx': 1.0},larynx
3840,Laser,"['laser', 'laser', 'laser', 'laser', 'laser']",{'laser': 1.0},laser
3841,Laser.,['Laser'],{'Laser': 1.0},Laser
3842,Lasers,['lasers'],{'lasers': 1.0},lasers
3843,Lat,"['latina', 'Latina', 'latino', 'latina', 'latina', 'Latina', 'Latin', 'latina', 'Latina', 'Latina', 'Latin', 'Latin', 'Latin', 'Latin', 'Latin', 'Latin', 'latino', 'ginecologia', 'latine', 'latino', 'latinas', 'latino-americana', 'latines', 'Latin']","{'latina': 0.16666666666666666, 'Latina': 0.16666666666666666, 'latino': 0.125, 'Latin': 0.3333333333333333, 'ginecologia': 0.041666666666666664, 'latine': 0.041666666666666664, 'latinas': 0.041666666666666664, 'latino-americana': 0.041666666666666664, 'latines': 0.041666666666666664}",Latin
3844,Lat.,"['Latin', 'Latina', 'Latina', 'Latina', 'Latina', 'Latina', 'Ginecologia', 'Latino-Americana', 'Latin', 'Latin', 'Latin', 'Latina']","{'Latin': 0.3333333333333333, 'Latina': 0.5, 'Ginecologia': 0.08333333333333333, 'Latino-Americana': 0.08333333333333333}",Latina
3845,Latinoam,"['Latinoamericana', 'latinoamericana', 'latinoamericanos', 'latinoamericanos', 'latinoamericanos', 'latinoamericana', 'latinoamericana', 'latinoamericana', 'latinoamericana', 'latinoamericana']","{'Latinoamericana': 0.1, 'latinoamericana': 0.6, 'latinoamericanos': 0.3}",latinoamericana
3846,Latinoam.,"['Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericanos', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana', 'Latinoamericana']","{'Latinoamericana': 0.9166666666666666, 'Latinoamericanos': 0.08333333333333333}",Latinoamericana
3847,Latinonot,['latinoamericana'],{'latinoamericana': 1.0},latinoamericana
3848,Latv.,"['Latvijas', 'Latvian']","{'Latvijas': 0.5, 'Latvian': 0.5}",Latvijas
3849,Laund,"['laundry', 'Laundry']","{'laundry': 0.5, 'Laundry': 0.5}",laundry
3850,Laund.,"['Laundry', 'Laundry']",{'Laundry': 1.0},Laundry
3851,Lav,"['lavoro', 'lavoro', 'lavoro', 'Lavoro', 'lavoro']","{'lavoro': 0.8, 'Lavoro': 0.2}",lavoro
3852,Lav.,"['Lavoro', 'Lavoro', 'Lavoro']",{'Lavoro': 1.0},Lavoro
3853,Law,"['law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'laws', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', ""law's"", 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law', 'law']","{'law': 0.9946236559139785, 'laws': 0.002688172043010753, ""law's"": 0.002688172043010753}",law
3854,Law.,"['Law', 'Law']",{'Law': 1.0},Law
3855,Lawinenforsch.,"['Lawinenforschung', 'Lawinenforschung']",{'Lawinenforschung': 1.0},Lawinenforschung
3856,Laws,"['laws', 'laws.', 'laws.']","{'laws': 0.3333333333333333, 'laws.': 0.6666666666666666}",laws.
3857,Lawyer,"['lawyer', 'lawyer', 'lawyer', 'lawyer', 'lawyer', 'lawyer', 'lawyer']",{'lawyer': 1.0},lawyer
3858,Lawyers,"['lawyers', ""lawyers'""]","{'lawyers': 0.5, ""lawyers'"": 0.5}",lawyers
3859,Lead,"['leaders', 'leader', 'leaders']","{'leaders': 0.6666666666666666, 'leader': 0.3333333333333333}",leaders
3860,Lead.,"['Leader', 'Leaders']","{'Leader': 0.5, 'Leaders': 0.5}",Leader
3861,Leader,['leader'],{'leader': 1.0},leader
3862,Leadersh,"['leadership', 'Leadership', 'leadership', 'leadership', 'Leadership', 'leadership', 'leadership', 'leadership', 'leadership', 'leadership']","{'leadership': 0.8, 'Leadership': 0.2}",leadership
3863,Leadersh.,"['Leadership', 'Leadership', 'Leadership', 'Leadership', 'Leadership', 'Leadership', 'Leadership']",{'Leadership': 1.0},Leadership
3864,Leads,"['leads', 'leads']",{'leads': 1.0},leads
3865,Leafl.,"['Leaflet', 'Leaflet']",{'Leaflet': 1.0},Leaflet
3866,Lealf,['leaflets'],{'leaflets': 1.0},leaflets
3867,Learn,"['learning', 'Learning', 'learning', 'Learning', 'learning', 'learning', 'learning', 'Learning.']","{'learning': 0.625, 'Learning': 0.25, 'Learning.': 0.125}",learning
3868,Learn.,"['Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning', 'Learning']",{'Learning': 1.0},Learning
3869,Learn.:,['Learning:'],{'Learning:': 1.0},Learning:
3870,Lebensm,['fur'],{'fur': 1.0},fur
3871,Lebensm.,"['fur', 'Lebensmittel-Wissenschaft']","{'fur': 0.5, 'Lebensmittel-Wissenschaft': 0.5}",fur
3872,Lebensm.-Rundsch.,['Lebensmittel-Rundschau'],{'Lebensmittel-Rundschau': 1.0},Lebensmittel-Rundschau
3873,Lebensm.-Unters.,['Lebensmittel-Untersuchung'],{'Lebensmittel-Untersuchung': 1.0},Lebensmittel-Untersuchung
3874,Lebensm.-Wiss.,['Lebensmittel-Wissenschaft'],{'Lebensmittel-Wissenschaft': 1.0},Lebensmittel-Wissenschaft
3875,Lebensmittelhyg.,['Lebensmittelhygiene'],{'Lebensmittelhygiene': 1.0},Lebensmittelhygiene
3876,Lebensmittelsicherh.,['Lebensmittelsicherheit'],{'Lebensmittelsicherheit': 1.0},Lebensmittelsicherheit
3877,Lebensversicher,['Lebensversicherungs'],{'Lebensversicherungs': 1.0},Lebensversicherungs
3878,Lebensversicher.,['Lebensversicherungs'],{'Lebensversicherungs': 1.0},Lebensversicherungs
3879,Leber.,['Leber'],{'Leber': 1.0},Leber
3880,Lech,"['lechenie', 'lechebnoi']","{'lechenie': 0.5, 'lechebnoi': 0.5}",lechenie
3881,Lech.,"['Lechenie', 'Lechebnoi']","{'Lechenie': 0.5, 'Lechebnoi': 0.5}",Lechenie
3882,Lecheniia,['lecheniia'],{'lecheniia': 1.0},lecheniia
3883,Lect,"['lectures', 'lectures', 'Lecture']","{'lectures': 0.6666666666666666, 'Lecture': 0.3333333333333333}",lectures
3884,Lect.,"['Lecture', 'Lecture', 'Lecturas', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lectures', 'Lecture', 'Lecturas', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lectures', 'Lectures', 'Lecture', 'Lecture', 'Lecture', 'Lecture', 'Lectures']","{'Lecture': 0.6419753086419753, 'Lecturas': 0.024691358024691357, 'Lectures': 0.3333333333333333}",Lecture
3885,Leg,"['legalis', 'legale', 'legale', 'legale', 'legal', 'legal', 'legal', 'legale', 'legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'legal', 'legale', 'legal', 'legale', 'legal', 'legal', 'legal', 'legal', 'Medico-legal', 'legal', 'legal']","{'legalis': 0.038461538461538464, 'legale': 0.23076923076923078, 'legal': 0.46153846153846156, 'Legal': 0.23076923076923078, 'Medico-legal': 0.038461538461538464}",legal
3886,Leg.,"['Legalis', 'Legale', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Legale', 'Legacy']","{'Legalis': 0.09090909090909091, 'Legale': 0.18181818181818182, 'Legal': 0.6363636363636364, 'Legacy': 0.09090909090909091}",Legal
3887,Legal,"['legal', 'legal', 'legal', 'legal']",{'legal': 1.0},legal
3888,Legis,"['legislation', 'legislation', 'legislation', 'legislation', 'legislativa', 'legislative', 'legislation', 'legislatures', 'legislation']","{'legislation': 0.6666666666666666, 'legislativa': 0.1111111111111111, 'legislative': 0.1111111111111111, 'legislatures': 0.1111111111111111}",legislation
3889,Legis.,"['Legislation', 'Legislation']",{'Legislation': 1.0},Legislation
3890,Legisbrief,['legisbrief'],{'legisbrief': 1.0},legisbrief
3891,Legk,['legkikh'],{'legkikh': 1.0},legkikh
3892,Lehr.,['und'],{'und': 1.0},und
3893,Lei,"['lei', 'lei']",{'lei': 1.0},lei
3894,Leiden,"['Leidensia', 'Economist']","{'Leidensia': 0.5, 'Economist': 0.5}",Leidensia
3895,Leiden.,['Leidensia'],{'Leidensia': 1.0},Leidensia
3896,Leipz,"['Asthma', 'Immunologie', 'Therapie', 'Psychologie']","{'Asthma': 0.25, 'Immunologie': 0.25, 'Therapie': 0.25, 'Psychologie': 0.25}",Asthma
3897,Leipz.,"['Asthma', 'Immunologie', 'Therapie', 'Psychologie']","{'Asthma': 0.25, 'Immunologie': 0.25, 'Therapie': 0.25, 'Psychologie': 0.25}",Asthma
3898,Leipzig,"['Hormone', 'Reihe', 'Leipzig.']","{'Hormone': 0.3333333333333333, 'Reihe': 0.3333333333333333, 'Leipzig.': 0.3333333333333333}",Hormone
3899,Leis,['leisure'],{'leisure': 1.0},leisure
3900,Leis.,"['Leisure', 'Leisure', 'Leisure']",{'Leisure': 1.0},Leisure
3901,Lek,"['lekarske', 'lekarnictva', 'lekaru', 'lekarstvi', 'Lekarske', 'Lekarske', 'Lekarsky', 'Lekarz', 'lekarsky', 'lekarstvi', 'lekarstvi', 'lekar', 'lekarski', 'lekarstvi', 'lekarsky', 'lekar', 'Lekarskich', 'lekarstvi']","{'lekarske': 0.05555555555555555, 'lekarnictva': 0.05555555555555555, 'lekaru': 0.05555555555555555, 'lekarstvi': 0.2777777777777778, 'Lekarske': 0.1111111111111111, 'Lekarsky': 0.05555555555555555, 'Lekarz': 0.05555555555555555, 'lekarsky': 0.1111111111111111, 'lekar': 0.1111111111111111, 'lekarski': 0.05555555555555555, 'Lekarskich': 0.05555555555555555}",lekarstvi
3902,Lek.,"['Lekarske', 'Lekaru', 'Lekarske', 'Lekarski', 'Lekarski', 'Lekarstvi', 'Lekarstvi', 'Lekarski', 'Lekarsky', 'Lekarstvi', 'Lekarstvi', 'Lekarskie']","{'Lekarske': 0.16666666666666666, 'Lekaru': 0.08333333333333333, 'Lekarski': 0.25, 'Lekarstvi': 0.3333333333333333, 'Lekarsky': 0.08333333333333333, 'Lekarskie': 0.08333333333333333}",Lekarstvi
3903,Leng.,['Lenguaje'],{'Lenguaje': 1.0},Lenguaje
3904,Leningr,"['Leningradskogo', 'Leningrad.', 'Leningradskogo']","{'Leningradskogo': 0.6666666666666666, 'Leningrad.': 0.3333333333333333}",Leningradskogo
3905,Leningr.,['Leningradskogo'],{'Leningradskogo': 1.0},Leningradskogo
3906,Lens,"['lens', 'lens']",{'lens': 1.0},lens
3907,Leopold.,"['Leopoldina', 'Leopoldina']",{'Leopoldina': 1.0},Leopoldina
3908,Leopoldina,['Naturforscher'],{'Naturforscher': 1.0},Naturforscher
3909,Lepidopterol.,['Lepidopterologica'],{'Lepidopterologica': 1.0},Lepidopterologica
3910,Lepr,"['leprosy', 'Leprosy', 'Leprosy', 'Leprosy']","{'leprosy': 0.25, 'Leprosy': 0.75}",Leprosy
3911,Lepr.,"['Leprosy', 'Leprosy', 'Leprosy', 'Leprosy', 'Leprosy']",{'Leprosy': 1.0},Leprosy
3912,Leprol,"['leprologica', 'leprologia', 'leprology', 'leprologia']","{'leprologica': 0.25, 'leprologia': 0.5, 'leprology': 0.25}",leprologia
3913,Leprol.,"['Leprologica', 'Leprologia']","{'Leprologica': 0.5, 'Leprologia': 0.5}",Leprologica
3914,Lesbian,['lesbian'],{'lesbian': 1.0},lesbian
3915,Leseges.,['Lesegesellschaft'],{'Lesegesellschaft': 1.0},Lesegesellschaft
3916,Lesn.,['Lesna'],{'Lesna': 1.0},Lesna
3917,Letra,['letras'],{'letras': 1.0},letras
3918,Lett,"['letter', 'letters', 'lettres', 'letters', 'letters', 'letters', 'lettere', 'lettere', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letteratura', 'Lettere', 'Letters', 'Letters', 'letters', 'letters', 'letters', 'letters', 'letters', 'letters.', 'letter.', 'letters', 'letters', 'letters', 'letters.', 'letters', 'letter', 'Letter', 'letters', 'letters', 'letter', 'letter', 'letter', 'letter', 'letter.', 'letters', 'Letter', 'letter', 'Letters', 'Letters']","{'letter': 0.125, 'letters': 0.6071428571428571, 'lettres': 0.017857142857142856, 'lettere': 0.03571428571428571, 'letteratura': 0.017857142857142856, 'Lettere': 0.017857142857142856, 'Letters': 0.07142857142857142, 'letters.': 0.03571428571428571, 'letter.': 0.03571428571428571, 'Letter': 0.03571428571428571}",letters
3919,Lett.,"['Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'e', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letter', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letter', 'Letter', 'Letter', 'Letter', 'Letter', 'Letter', 'Letter', 'Letter', 'Letters.', 'Letter', 'Letter', 'Letter', 'Letters', 'Lettera', 'Letters', 'Lettres', 'Letters', 'Letters', 'Letters.', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters', 'Letters']","{'Letters': 0.9022988505747126, 'e': 0.005747126436781609, 'Letter': 0.06896551724137931, 'Letters.': 0.011494252873563218, 'Lettera': 0.005747126436781609, 'Lettres': 0.005747126436781609}",Letters
3920,Letters,['letters'],{'letters': 1.0},letters
3921,Lettr,['lettres'],{'lettres': 1.0},lettres
3922,Leuk,"['Leukemia', 'Leukemia']",{'Leukemia': 1.0},Leukemia
3923,Leuk.,"['Leukemia', 'Leukemia']",{'Leukemia': 1.0},Leukemia
3924,Leukoc,"['leukocyte', 'leukocyte']",{'leukocyte': 1.0},leukocyte
3925,Leukoc.,"['Leukocyte', 'Leukocyte']",{'Leukocyte': 1.0},Leukocyte
3926,Leukot,"['leukotriene', 'leukotrienes', 'leukotrienes']","{'leukotriene': 0.3333333333333333, 'leukotrienes': 0.6666666666666666}",leukotrienes
3927,Leukot.,"['Leukotriene', 'Leukotrienes', 'Leukotrienes']","{'Leukotriene': 0.3333333333333333, 'Leukotrienes': 0.6666666666666666}",Leukotrienes
3928,Leuvense,['Leuvensche'],{'Leuvensche': 1.0},Leuvensche
3929,Levi,"['Levi""""""']","{'Levi""""""': 1.0}","Levi"""""""
3930,Liabil,['liability'],{'liability': 1.0},liability
3931,Liability,['liability'],{'liability': 1.0},liability
3932,Liaison,['liaison'],{'liaison': 1.0},liaison
3933,Lib,"['liberties', 'liberties', 'liberty', 'Liberty']","{'liberties': 0.5, 'liberty': 0.25, 'Liberty': 0.25}",liberties
3934,Lib.,"['Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library', 'Library']",{'Library': 1.0},Library
3935,Liberal,['Faculty'],{'Faculty': 1.0},Faculty
